	web_id	sku_id	attr_name	attr_value	dt	item_third_cate_cd
0	0	1000373	分类	果味饮料#$碳酸饮料	2017-02-28	1602
1	0	1000373	包装件数	13-20	2017-02-28	1602
2	0	1000373	单件容量	251mL-600mL	2017-02-28	1602
3	0	1000373	碳酸饮料分类	果味	2017-02-28	1602
4	0	1021048	产品产地	中国大陆	2017-02-28	1602
5	0	1021048	分类	果蔬汁	2017-02-28	1602
6	0	1021048	包装	便携装	2017-02-28	1602
7	0	1021048	包装件数	20以上	2017-02-28	1602
8	0	1021048	单件容量	250mL及以下	2017-02-28	1602
9	0	1021048	口味	其它	2017-02-28	1602
10	0	1021048	是否含糖	无糖	2017-02-28	1602
11	0	1021048	果汁成分含量	100%	2017-02-28	1602
12	0	1021048	进口/国产	国产	2017-02-28	1602
13	0	1021048	适用场景	亲子#$出游#$熬夜/加班#$运动#$送礼#$餐桌	2017-02-28	1602
14	0	1044694	产品产地	中国大陆	2017-02-28	1602
15	0	1044694	分类	碳酸饮料	2017-02-28	1602
16	0	1044694	功能饮料	运动饮料	2017-02-28	1602
17	0	1044694	包装	独立包装	2017-02-28	1602
18	0	1044694	包装件数	13-20	2017-02-28	1602
19	0	1044694	单件容量	251mL-600mL	2017-02-28	1602
20	0	1044694	口味	芒果味	2017-02-28	1602
21	0	1044694	是否含糖	含糖	2017-02-28	1602
22	0	1044694	果汁成分含量	100%以下	2017-02-28	1602
23	0	1044694	碳酸饮料分类	果味	2017-02-28	1602
24	0	1044694	进口/国产	国产	2017-02-28	1602
25	0	1044694	适用场景	其它#$出游#$熬夜/加班#$运动#$送礼#$餐桌	2017-02-28	1602
26	0	1044698	产品产地	中国大陆	2017-02-28	1602
27	0	1044698	分类	功能饮料	2017-02-28	1602
28	0	1044698	功能饮料	运动饮料	2017-02-28	1602
29	0	1044698	包装	独立包装	2017-02-28	1602
30	0	1044698	包装件数	13-20	2017-02-28	1602
31	0	1044698	单件容量	251mL-600mL	2017-02-28	1602
32	0	1044698	口味	其它	2017-02-28	1602
33	0	1044698	是否含糖	含糖	2017-02-28	1602
34	0	1044698	果汁成分含量	100%以下	2017-02-28	1602
35	0	1044698	进口/国产	国产	2017-02-28	1602
36	0	1044698	适用场景	出游#$熬夜/加班#$运动#$餐桌	2017-02-28	1602
37	0	1044701	产品产地	中国大陆	2017-02-28	1602
38	0	1044701	分类	功能饮料	2017-02-28	1602
39	0	1044701	功能饮料	运动饮料	2017-02-28	1602
40	0	1044701	包装	独立包装	2017-02-28	1602
41	0	1044701	包装件数	20以上	2017-02-28	1602
42	0	1044701	单件容量	251mL-600mL	2017-02-28	1602
43	0	1044701	口味	橙味	2017-02-28	1602
44	0	1044701	是否含糖	含糖	2017-02-28	1602
45	0	1044701	果汁成分含量	100%以下	2017-02-28	1602
46	0	1044701	碳酸饮料分类	果味	2017-02-28	1602
47	0	1044701	茶饮料系列	其它	2017-02-28	1602
48	0	1044701	进口/国产	国产	2017-02-28	1602
49	0	1044701	适用场景	运动	2017-02-28	1602
50	0	1044706	产品产地	中国大陆	2017-02-28	1602
51	0	1044706	分类	功能饮料	2017-02-28	1602
52	0	1044706	功能饮料	运动饮料	2017-02-28	1602
53	0	1044706	包装	独立包装	2017-02-28	1602
54	0	1044706	包装件数	13-20	2017-02-28	1602
55	0	1044706	单件容量	251mL-600mL	2017-02-28	1602
56	0	1044706	口味	其它	2017-02-28	1602
57	0	1044706	是否含糖	含糖	2017-02-28	1602
58	0	1044706	果汁成分含量	其它	2017-02-28	1602
59	0	1044706	碳酸饮料分类	其它	2017-02-28	1602
60	0	1044706	茶饮料系列	其它	2017-02-28	1602
61	0	1044706	进口/国产	国产	2017-02-28	1602
62	0	1044706	适用场景	其它#$出游#$熬夜/加班#$运动#$送礼#$餐桌	2017-02-28	1602
63	0	1044708	产品产地	中国大陆	2017-02-28	1602
64	0	1044708	包装	独立包装	2017-02-28	1602
65	0	1044708	包装件数	13-20	2017-02-28	1602
66	0	1044708	单件容量	251mL-600mL	2017-02-28	1602
67	0	1044708	是否含糖	含糖	2017-02-28	1602
68	0	1044708	进口/国产	国产	2017-02-28	1602
69	0	1044708	适用场景	亲子#$其它#$出游#$熬夜/加班#$运动#$送礼#$餐桌	2017-02-28	1602
70	0	1044718	包装件数	20以上	2017-02-28	1602
71	0	1044731	产品产地	中国大陆	2017-02-28	1602
72	0	1044731	分类	咖啡/可可饮料	2017-02-28	1602
73	0	1044731	包装	独立包装	2017-02-28	1602
74	0	1044731	包装件数	20以上	2017-02-28	1602
75	0	1044731	单件容量	250mL及以下	2017-02-28	1602
76	0	1044731	是否含糖	含糖	2017-02-28	1602
77	0	1044731	进口/国产	国产	2017-02-28	1602
78	0	1044731	适用场景	其它#$出游#$熬夜/加班#$运动#$送礼#$餐桌	2017-02-28	1602
79	0	1044732	产品产地	中国大陆	2017-02-28	1602
80	0	1044732	分类	咖啡/可可饮料	2017-02-28	1602
81	0	1044732	包装	独立包装	2017-02-28	1602
82	0	1044732	包装件数	13-20	2017-02-28	1602
83	0	1044732	单件容量	251mL-600mL	2017-02-28	1602
84	0	1044732	是否含糖	含糖	2017-02-28	1602
